yiger	一个人	70306	151659
gsm	干什么	69211	305945
duibuq	对不起	67420	149486
ygr	一个人	65618	222634
dadianhua	打电话	65001	136883
ddh	打电话	64780	220419
bhys	不好意思	61704	156792
zaiyiq	在一起	59419	123004
youmeiy	有没有	59108	119605
yby	要不要	56224	154923
chabuduo	差不多	55468	98499
hbh	好不好	55119	179155
wojuede	我觉得	54525	144881
npy	男朋友	52730	150808
qinaide	亲爱的	52547	196565
msm	没什么	51659	126987
nizenm	你怎么	51075	116252
nbn	能不能	50650	110550
duibuqi	对不起	48496	111143
weishenme	为什么	47797	125869
buhaoyis	不好意思	47375	80953
mbf	没办法	46735	99711
wozhid	我知道	45684	103259
meibanf	没办法	45378	74902
zhaobud	找不到	44693	68825
burens	不认识	43972	73769
wojint	我今天	43955	88704
hahaha	哈哈哈	43928	138212
hahah	哈哈哈	42674	164424
gansm	干什么	42577	101912
zenml	怎么了	41678	133873
zaiganm	在干嘛	41035	102987
woxianz	我现在	40143	89903
shoubul	受不了	40089	64464
kaiwanx	开玩笑	40037	64062
shashih	啥时候	39334	85166
nijint	你今天	39117	69966
zgm	在干嘛	39033	194367
guojit	过几天	38940	57455
woaini	我爱你	38422	106766
woyes	我也是	38082	73200
chabd	差不多	37304	62248
bukeneng	不可能	36992	55213
wozhidao	我知道	36830	76268
bushuf	不舒服	36135	61140
bkn	不可能	35627	72014
youmeiyou	有没有	35196	62135
sms	什么事	34889	62068
huibuh	会不会	34428	55972
nizhid	你知道	32802	55657
jiuhaol	就好了	32331	56093
nizaina	你在哪	32210	55044
aaa	啊啊啊	31965	93724
haobuhao	好不好	31890	59431
daosh	到时候	31665	53370
zms	怎么说	30733	58597
qianjit	前几天	30159	41330
gmn	干嘛呢	30147	206224
srkl	生日快乐	29766	55608
duibq	对不起	29754	53905
zaiganma	在干嘛	29181	63553
meiguanx	没关系	28374	47704
meishij	没时间	28370	40389
woain	我爱你	28224	78175
yigey	一个月	27912	41976
hmy	还没有	27740	89164
zenmele	怎么了	27604	70612
smy	什么样	27081	45379
shuibz	睡不着	26701	47466
buxuy	不需要	26294	38138
yihuier	一会儿	25831	79362
zbz	在不在	25617	73792
meiyis	没意思	25392	38118
zyq	在一起	24859	63859
bushufu	不舒服	24619	38606
woyiw	我以为	24517	41931
gaosuni	告诉你	24471	37538
zhaobudao	找不到	24279	33750
zhidaol	知道了	23376	42770
nishuode	你说的	23353	34469
woyiwei	我以为	23324	37530
haimy	还没有	23182	47934
nvpengy	女朋友	22799	40523
wojiushi	我就是	22534	36349
wobux	我不想	21946	39027
woyijing	我已经	21926	32747
meiyisi	没意思	21855	33575
buyy	不一样	21418	32704
zaibuz	在不在	20678	33648
mys	没意思	20140	35623
nengbuneng	能不能	19927	29963
zainal	在哪里	19806	33430
buyuanyi	不愿意	19492	26189
buxiaode	不晓得	19312	42786
kanbudao	看不到	19224	26597
huilaile	回来了	18981	30771
wozuot	我昨天	18613	28643
buyuany	不愿意	18483	27476
xbx	行不行	18375	32426
zenmey	怎么样	18293	33066
gsw	告诉我	18206	45216
tinghaode	挺好的	18069	29932
bushuohua	不说话	17665	27600
nahaoba	那好吧	17660	32194
chism	吃什么	17642	28850
bixude	必须的	17525	30896
laibuji	来不及	17296	22857
wobuzhidao	我不知道	17270	27310
lgr	两个人	17196	30488
wocuol	我错了	17190	31157
qrj	情人节	17163	36899
chiwanl	吃完了	17003	26529
huibh	会不会	16650	24944
diyc	第一次	16579	23252
buhuiq	不回去	16564	21732
zmz	这么早	16319	30667
yly	越来越	16218	29283
bukeq	不客气	15999	22780
niganma	你干嘛	15949	26442
tanlianai	谈恋爱	15916	21955
dabut	打不通	15894	20425
nizd	你知道	15771	24408
meibiy	没必要	15655	20831
buxiaox	不小心	15500	19868
bxd	不晓得	15440	48974
youwent	有问题	15355	20225
wozd	我知道	15309	29265
bujide	不记得	15283	20031
duosq	多少钱	15281	23955
qubuq	去不去	14843	19768
jiuzd	就知道	14767	21555
kendeji	肯德基	14677	20644
youyis	有意思	14588	19273
niky	你可以	14275	22796
meiger	每个人	14007	18534
niduoda	你多大	13986	24795
