96	我	5435777	370345308
64	你	5396635	322117359
33	的	5381095	297509688
2	啊	4983386	261022757
744	是	4908487	107938253
924	在	4889036	99717474
548	就	4693122	99128570
22	吧	4672367	89068096
53	了	4657860	203287421
78	去	4599308	86158066
28	不	4540594	103362762
426	好	4537084	77761014
634	没	4479871	83517554
926	要	4261178	59931188
63	呢	4193286	80963759
368	都	4179198	67090968
7486	说	4170106	59238779
424	还	4086036	53578332
93	也	4060600	52561469
326	到	3975840	39899910
94264	想	3921052	44501534
6	哦	3898272	80426610
524	来	3796578	34831964
74264	上	3747623	27766298
736	人	3645753	28981109
484	会	3604618	31509078
244	吃	3535530	40177737
3426	点	3471378	26862720
434	给	3437685	29329630
82	他	3397582	37462140
943	这	3394670	27601735
6364	能	3279323	21734856
634968	没有	3221440	32105891
36	恩	3185279	63688140
4343	呵呵	3124919	55993308
436	很	3121705	23653645
4242	哈哈	3106746	52445840
486	过	3070418	18524001
94	一	3048047	22546900
9443	一个	3032792	19686853
9426	小	3009154	17191207
5	了	2959173	91454019
743663	什么	2955666	39187710
542	家	2947345	15591036
624	买	2945513	20675068
93663	怎么	2897964	32018220
52	啦	2894588	48323193
746854	手机	2884211	15045873
9664	用	2871495	14445462
944326	知道	2858850	18162944
6243	那个	2749373	17693398
5426	叫	2729848	14830885
4264	刚	2728452	15334730
824	太	2689244	13394625
482	话	2680383	13569031
424744	还是	2625564	17384084
634744	没事	2499149	14737319
936	问	2455076	11282513
94363	这么	2447510	15871201
424968	还有	2429136	11524123
943633	真的	2380907	14109266
42662	干嘛	2379000	15918800
7264	让	2370563	10958423
92674264	晚上	2351701	12476520
43464	给你	2282260	12661278
324	带	2277316	9742366
9464	行	2240833	9438728
74366	什么	2198288	30210671
286364	不能	2176160	9111078
43496	给我	2175517	11342759
42622	好吧	2093403	18729602
78486	如果	2069912	9641550
9366	怎么	2040281	26512906
72	怕	2011573	7504987
744468	时候	1978687	9301623
9	我	1930401	28926509
248	出	1925218	7398872
9868426	昨天	1886277	7289113
74744	其实	1863722	7437069
543	姐	1862396	8221671
93744	也是	1784998	6027148
94269	现在	1777860	14592437
9693	我也	1764570	8743225
924542	在家	1675934	5578729
9466498	中午	1663816	5765073
7486482	说话	1661652	6104255
343264	地方	1643037	4570427
58	路	1609005	4784625
24364	成	1606678	4189507
74524	起来	1581480	5361868
92628	要不	1565130	5113964
746	亲	1560515	8484240
424924	还在	1559043	4480683
726	三	1544627	4495897
62744	那是	1526098	4505367
96548	我就	1512460	6065453
7664	送	1507961	4558572
5468	今天	1486158	14935385
7468326	收到	1480075	4793092
56	咯	1477414	16421163
24826	穿	1466893	5047836
74845	睡觉	1459429	9696957
64426	你好	1450736	8196964
647486	你说	1436562	4528650
542694	联系	1436458	4172955
6349	没有	1419336	13287644
52676	老婆	1412615	15164204
968744	有事	1395352	3384270
42678	告诉	1380118	4220480
743	切	1373343	6223062
548426	几天	1357227	3206694
926744	要是	1349031	4341282
94267426	照片	1339920	4182599
73	热	1315058	3575610
53744	可是	1300463	4917376
9678	我去	1294825	4579544
942664	找你	1270142	3481977
32653	到了	1247681	3572968
68736	女人	1160118	3680995
64926	你要	1154965	3147080
7426453	上课	1132231	4343243
546426	里面	1100756	2578022
9439	这样	1095993	5451617
28726	不然	1088471	3538736
748453	睡了	1039611	3283234
94354	这里	1013016	2710002
742642	上班	1005476	6453732
5833	觉得	986458	4658114
9426326	找到	970454	1851838
4344	嘿嘿	954799	10484539
9436744	真是	944640	2418378
38453	对了	893035	2394020
3264726	当然	875431	2034852
226234	宝贝	852684	6930740
368924	都在	844582	1642856
38464	对你	824957	1838588
926748	要求	791858	1528237
3364942	等下	718346	2613573
84	提	703106	1301923
9254	压力	702986	1380646
74462	是吗	690763	2113166
7862	去哪	676363	1500260
4688426	后天	656114	1235620
934742	为啥	643616	2060376
783	却	641802	1302330
9467	心情	608395	1596917
484744	回事	595452	1035214
746464	请你	593358	1107351
9264586	网络	591822	1092065
4686426	后面	583304	1034552
7443426	十点	542992	979875
926542	咱俩	532761	1937038
2854	不理	520037	1108724
5249	开心	518868	1529974
5267	老婆	515822	5001949
42652	好啦	510615	1661909
33643364	等等	509854	1171771
38269	短信	500551	1248436
744482	实话	486489	788911
54482	计划	485220	861156
74624	亲爱	478588	1453543
937	也是	450304	1456846
9683	有点	440802	1340278
242654	超级	439681	894237
5469	今晚	430943	2064428
8233	他的	392989	689741
983484	约会	378638	728188
63494	妹子	377265	1063805
537	可是	373596	1401277
58245	快乐	367755	810007
74683	收到	335671	926684
245	比较	319664	1017911
54296	加我	312172	631565
746453	请客	304856	480130
436926	很晚	291901	429109
942672	潇洒	283213	458035
9432	这边	272069	682593
7436454	升级	270558	463232
482649	广州	269291	1051465
2445	吃了	265703	634066
785	去了	251210	537252
9685426	邮件	239654	473134
5426944	兼职	233818	463636
7676	婆婆	222445	512194
622	那边	219860	579234
285	不了	218449	376043
5434	结婚	216193	559374
626462	忙吗	215991	448592
28942	不下	212152	275738
94833	住的	180148	246471
748452	睡啦	175305	319811
2436498	程序	169595	254305
7374	热死	163109	231534
3367	分手	161021	343218
32443	带个	153166	196478
267	安排	148470	310753
46645	公交	137909	249526
9426948	小猪	130924	346692
325	大家	125009	259137
46644264	工行	118344	193944
28944326	不知道	2169971	11861014
74428744	是不是	1634852	6257985
323426482	打电话	1448748	4529155
289443	不知道	1158560	6282326
24228386	差不多	1123122	2648837
9443736	一个人	1113919	3048400
